idCliente,Nome,NumPedidos
806,Jianguo Mahato,7016
957,Heike Ibrahim,6839
43,Fatima Endo,6759
111,Svetlana Adri,6725
618,Jakub Petrov,6651
702,Yoshio Tal,6596
942,Petra Hashimoto,6567
306,Fatima Bekher,6550
663,Somsak Dijkstra,6523
781,Claire Lange,6481
771,Hui Shapiro,6450
57,Themba Yao,6442
761,Eugenia Kwiatkowski,6441
759,Ali Romanov,6418
751,Jerzy Du-Plessis,6393
97,Christa Van-Beek,6369
251,Brigitte Mustapha,6354
884,Christine Tang,6354
483,Ester Ansari,6348
53,Xolani Morozov,6345
951,Xiaoping Singh,6342
302,Rattana Lis,6318
578,Nushi Maier,6315
200,Miriam Ohana,6309
289,Laura Johnson,6270
692,Francisco-Javier Walters,6266
26,Xiaoyan Powell,6245
978,Somkiat Clarke,6215
319,Anil Wang,6201
5,Fatima Hughes,6200
693,Shay Sah,6198
809,Maciej Shevchenko,6188
636,Yaakv Lehmann,6187
402,Lisa Achieng,6182
277,Rut Ceng,6165
932,Iwona Tshabalala,6162
216,Ekaterina Zhu,6153
563,Agata Okeke,6150
59,Moshe Wu,6139
39,Martha Kibet,6135
285,Manfred Majewski,6128
547,Paulina Chebet,6121
525,Ning Kondo,6111
40,Angela Rees,6107
307,Mahmood Cheng,6103
664,Aliyu Friedman,6097
875,Klaus Clarke,6094
531,Hauwa Young,6086
261,Chayah Flores,6081
325,Hadiza Singh,6078
929,Yahaya Taylor,6075
379,Somchit Liu,6065
232,Werner Ceng,6050
825,Anong Dominguez,6050
505,Laxmi Kowalczyk,6036
376,Lilja Maeda,6029
310,Amnuai Radebe,6026
648,Dmitry Einarsson,6021
241,Jesus Salazar,6020
182,Xin Omondi,5972
593,Omer Lehmann,5956
916,Mark Ceng,5949
837,Idris Maina,5928
403,Sam Cheng,5917
919,Yuliya Agbaria,5915
850,Xolani Malkah,5913
558,Charoen Kaur,5912
856,Arnar Muthoni,5908
80,Yahaya Ueda,5906
262,Darya Tanaka,5893
615,Jakub Garcia,5879
214,Shoshanah Green,5876
678,Kamil Hartmann,5869
734,Aminu Hongthong,5869
335,Jane Pillay,5858
652,Kamil Griffiths,5856
666,Chan Yang,5853
106,Hauwa Mabaso,5853
316,Bongani Baba,5852
542,Andri Karanja,5852
642,Fiona Muhammed,5850
115,Ekaterina Castillo,5847
512,Shigeru Hasna,5846
489,Lijun Carter,5845
519,Leah Mazurek,5839
778,Somphon Jenkins,5836
647,Suman Reyes,5833
582,Dmitriy Helgason,5824
539,Yuval Zhang,5822
172,Ekaterina Inoue,5820
659,Paulina Kuznetsov,5814
550,Samran Sekh,5805
84,Kun Nyambura,5804
395,Noriko Smits,5802
979,Dinesh Molefe,5802
617,Mo Meyer,5799
34,Rosa Yamamoto,5793
546,Yoshiko Ram,5792
441,Jacobus Esteban,5791
47,Usman Omondi,5781
367,Shizuko Sharma,5781
92,Amnuai Frolova,5778
608,Carol Fujii,5772
166,Aminu Venter,5770
7,Yakubu Isah,5768
975,Bunmi Griffiths,5764
794,Chayah Chanthara,5762
889,Peter Audu,5761
188,Maryam Wafula,5759
910,Shigeru Khatoon,5759
754,Jose-Maria Salazar,5758
695,Birgir Blom,5756
984,Edda Santiago,5755
748,Takako Mhamid,5754
956,Anita Sarkar,5753
625,Anan Herrera,5746
280,Petra Macharia,5743
175,Wanchai Wangui,5743
603,Robert Ber,5742
330,Hong Powell,5735
58,Karolina Yao,5723
953,Andreas Cheruiyot,5716
843,Ram Bitton,5715
6,Qing Buthelezi,5713
912,Takako Kariuki,5707
308,Edda Krawczyk,5698
49,Keiko Vasilev,5697
318,Amnuai Maas,5691
639,Kiyoshi De-Groot,5691
88,Marina Vargas,5690
374,Aisha Lavyan,5690
554,Maryam Umar,5689
449,George Hassan,5684
33,Erla Wafula,5684
500,Sommai Hauksson,5682
455,Yu Sombun,5677
411,Maria Ramos,5676
649,Mpho Luo,5675
914,Koichi Mitchell,5672
311,Isah Mikhaylov,5664
409,Wirot Bos,5664
399,Karen Fuchs,5660
416,Thabo Umaru,5657
187,Jan Lopez,5653
266,Toshio Schmitt,5646
237,Elisabeth Price,5643
708,Werner Umar,5642
587,Roman Shi,5642
762,Sibongile Ostrowski,5640
67,Ping Delgado,5638
127,Amnuai Chen,5635
839,Juan Ohana,5634
238,Pricha Ntuli,5632
150,James Zheng,5631
746,Usman De-Bruijn,5630
800,Johannes Begam,5624
958,Victor Cele,5624
338,Jerzy Van-Dam,5619
477,Wichian Langat,5617
970,Wirot Okeke,5616
272,Radha Kuznetsov,5614
443,Kristinn Muhammad,5613
46,Min Ram,5613
530,Mo Rabiu,5607
18,Hideo Prins,5607
456,Idris Vasileva,5605
193,Katarzyna Alonso,5604
703,Petrus Adri,5601
430,Karl Lee,5600
614,Lin Langat,5599
287,Miguel-Angel Petrova,5595
396,Prasit Esteban,5593
174,Andrew Hoekstra,5590
508,Xiaoli Witkowski,5590
730,Evgeniy Mhlongo,5585
450,Rong Young,5584
767,Rut Hongthong,5578
50,Anton David,5577
270,Wilai Alvarez,5576
741,Jan Maciejewski,5574
62,Sushila Matthews,5572
372,Hauwa Okon,5569
293,Ying Harris,5567
321,Amiyt Cai,5566
890,Rafael Wanjala,5566
982,Mikhail Feng,5565
247,Usman Schneider,5564
966,Hui Usman,5562
436,Jianping Eze,5560
357,Hildur Saha,5558
87,Irina Nayak,5556
334,Paulina Arnarson,5551
14,Yaakv Haraldsson,5544
901,Thawi Piotrowski,5539
397,Agnieszka Dominguez,5534
595,Xiaoping De-Groot,5531
452,Akira Yang,5530
634,Mariusz Ngobeni,5529
527,Yuko Hoffmann,5529
952,Robert Cruz,5528
234,Pushpa Moshe,5528
739,Sawat Van-den-Berg,5526
743,Mahmood Jakubowski,5523
787,Ekaterina Ngubane,5521
685,Guy Vega,5519
737,Miriam Michalski,5516
922,Rajesh Bello,5515
268,Rajendra Dai,5515
735,Nokuthula Nayak,5511
633,Stephen Mutua,5508
537,Sabine Piotrowski,5505
824,Margaret Akpan,5504
718,Lindiwe Smirnova,5502
627,Isa Schmidt,5502
555,Uwe Nikolaev,5500
925,Isah Paswan,5499
864,Maryam Kongkaeo,5498
157,Caroline Gunnarsson,5490
575,Nancy Thongdi,5489
609,Chan Mohammed,5483
553,Chao Bunmi,5482
355,Kenneth Gumede,5481
918,Keiko Rivera,5478
435,Hong Rubio,5471
242,Anong Bunma,5470
35,Dinesh Kumar,5469
700,Eliyahu Flores,5468
626,Isaac Schneider,5464
698,Min Peretz,5463
600,Nadezhda Vargas,5458
828,Ana-Maria Jenkins,5455
680,Salisu Omar,5454
453,Mercy Hendriks,5453
930,Paul Gomez,5453
282,Barbara Smirnova,5452
457,Anton Ward,5447
668,Lilian Rowlands,5446
223,Noam Szewczyk,5443
999,Philip Salazar,5441
394,Karin Aguilar,5441
996,Bernd Romanov,5440
246,Amnuai Gumede,5431
770,Yong Yang,5430
162,Sergio Abe,5429
973,Joanna Rowlands,5429
701,Susanne Muhammadu,5428
518,Karl-Heinz Alvarez,5428
814,Sunita Saengthong,5428
102,Yue Venter,5426
