idVendedor,nomeVendedor,numVendas
3,Frank Mahagna,35899
85,Suman Mbatha,31947
35,Zandile Lavyan,31731
9,Francisca Wen,35877
5,Joyce Baker,31837
83,Liping Suzuki,35452
113,Alexander Santos,33225
146,Ping Onyango,35952
140,David Venter,36680
87,Kjartan Mwangi,33540
22,Isabel Sakamoto,33934
135,Pilar Jansen,33856
53,Susanne Vaknin,33819
123,Victor Sulaiman,35031
102,Nancy Shevchenko,35109
141,Yhudiyt Kozlova,34763
134,Yhudiyt Williams,34537
116,Johan Sitwat,36928
62,Xiaoyan Suzuki,32797
43,Keiko Bala,34790
124,Alyona Yahaya,35781
1,Esther Chided,17181
18,Gisela Chukwu,31953
94,Karl-Heinz Nikolaev,35591
37,Sunday Cano,31628
13,Andrew Kowalski,31136
112,Tatyana Van-Beek,36000
30,Ravi Rani,37334
44,Adiy Lang,33763
42,Lukasz Ikeda,35886
25,Gisela Umar,32807
115,Jose Das,33072
91,Janusz Young,31837
150,Asha Ngubane,17685
17,Somphong Kowalczyk,34088
59,Barbara Kimura,33457
81,Ngozi Qiu,33249
96,Dariusz Vazquez,30878
131,Purity Sato,32394
7,Peng Omar,32650
137,Maciej Endo,32699
86,Rosa Sitwat,33902
76,Lilian Mondal,31670
128,Lyubov Molina,34858
122,Mitsuo Rumbelow,32542
103,Irina Maluleke,35535
101,Yahaya Su,33625
75,Tebogo Kim,33880
60,Abubakar Popov,35303
54,Jianjun Coetzee,35956
51,Rajendra Lal,33857
63,Sombun Schmid,35124
143,Heinz Lis,35442
119,Lan Hoekstra,32453
78,Manuel Schmid,33629
4,Ragnar Haraldsson,33347
27,Vijay Gomez,32758
107,Asha Ostrowski,31709
82,Hiroshi Morozova,32684
90,Vijay Pietrzak,33218
66,Helmut Van-Beek,34960
2,Wanphen Okada,36975
120,Chen John,31920
142,Hong Barasa,32653
108,Jianguo Lehmann,30881
72,Mary Thompson,33652
26,Uriy Rowlands,33522
19,Mercy Janssen,35706
33,Lijun Kumar,34499
92,Karen Ali,31193
89,Winai Njoroge,33429
6,Matt Fujii,33394
80,Karolina Mondal,33617
15,Hiromi Egorova,31749
109,Sunday Richter,33101
70,Karolina Edwards,31582
61,Ester Ngobeni,32603
41,Qing Nakano,33167
31,Christa Yuan,33683
129,Mali Blom,33386
148,Meiyr Green,32054
106,Somkhit Shemesh,35402
145,Urai Andreev,31928
46,Mitsuo Nel,33210
16,Aleksandr Wairimu,32322
68,Miykhal Novikov,36110
67,Karen Patil,32956
55,Johanna Begum,33468
77,Sarah Kowalczyk,33517
57,Tadashi Gumede,32414
139,Nonhlanhla Dijkstra,32056
127,Michal Makarov,34694
10,Alan Allen,35346
97,Min Molefe,37520
111,Martha Vasilev,34312
65,Fumiko De-Groot,31425
71,Xiaoyan Mishra,32424
93,Dieter Paswan,35694
100,Carmen Wagner,32689
138,Andrey Pfeiffer,34024
49,Rajesh Jimenez,34781
144,Pablo Zoabi,33945
24,Horst Moreno,31444
11,Irina Okon,36850
117,Pushpa Lawal,35657
136,Zandile Atieno,33528
29,Jose-Manuel Pawlak,35113
126,Ana Roberts,31736
12,Olga Zakharova,35367
36,Lihua Kamau,36653
84,Janet Lee,33313
105,Yue Mahagna,32947
45,Andrzej Smoakley,35823
23,Anton Buthelezi,33950
58,Justyna Nikolaev,32661
73,Joyce Chmielewski,35244
98,Bjarni Fujita,34122
125,Jianguo Cruz,36328
104,Chan Sasaki,34675
147,Li Hughes,31927
95,Yael Smee,33917
69,Richard Sanchez,33923
34,Elke Lal,34601
21,Hisako Iglesias,33612
149,Eunice Powell,32608
48,Mahmood Li,34240
88,Suphaphon Aminu,31272
40,Renate Yoshida,34781
39,Ping Reyes,33359
50,Hadiza Schmidt,31247
74,Joyce Mahato,31937
14,Rajendra Tian,34244
110,Isa Khoza,33489
38,Ling Dlamini,32718
114,Esther Hassan,33654
64,Ming Gil,34511
32,Watsana Smits,34946
99,Mikhail Yakovleva,33102
20,Yael Hernandez,34261
133,Ana Phillips,33206
8,Lakshmi Wright,33581
47,Krzysztof Ishii,32256
118,Muhammed Molefe,34274
52,Natalya Sah,35456
132,Radha Collins,31700
28,Marina Goto,33927
130,Marina Wojciechowski,33381
121,Edda Davies,36553
56,Fran Mthembu,36474
79,Mikhail Nikolaev,36496
