idVendedor,nomeVendedor,valor
89,Winai Njoroge,96105
46,Mitsuo Nel,96105
4,Ragnar Haraldsson,96105
60,Abubakar Popov,96105
121,Edda Davies,96105
24,Horst Moreno,96105
104,Chan Sasaki,95143.95
108,Jianguo Lehmann,95143.95
94,Karl-Heinz Nikolaev,95143.95
106,Somkhit Shemesh,95143.95
127,Michal Makarov,95143.95
146,Ping Onyango,95143.95
55,Johanna Begum,95143.95
22,Isabel Sakamoto,95143.95
121,Edda Davies,95143.95
5,Joyce Baker,95143.95
83,Liping Suzuki,95143.95
23,Anton Buthelezi,95143.95
56,Fran Mthembu,95143.95
82,Hiroshi Morozova,95143.95
43,Keiko Bala,95143.95
111,Martha Vasilev,95143.95
25,Gisela Umar,95143.95
45,Andrzej Smoakley,95143.95
87,Kjartan Mwangi,95143.95
131,Purity Sato,95143.95
132,Radha Collins,95143.95
2,Wanphen Okada,95143.95
90,Vijay Pietrzak,95143.95
43,Keiko Bala,95143.95
56,Fran Mthembu,94182.9
23,Anton Buthelezi,94182.9
135,Pilar Jansen,94182.9
7,Peng Omar,94182.9
69,Richard Sanchez,94182.9
74,Joyce Mahato,94182.9
27,Vijay Gomez,94182.9
22,Isabel Sakamoto,94182.9
118,Muhammed Molefe,94182.9
67,Karen Patil,94182.9
138,Andrey Pfeiffer,94182.9
113,Alexander Santos,94182.9
148,Meiyr Green,94182.9
55,Johanna Begum,94182.9
126,Ana Roberts,94182.9
29,Jose-Manuel Pawlak,94182.9
42,Lukasz Ikeda,93221.84999999999
78,Manuel Schmid,93221.84999999999
77,Sarah Kowalczyk,93221.84999999999
3,Frank Mahagna,93221.84999999999
89,Winai Njoroge,93221.84999999999
11,Irina Okon,93221.84999999999
134,Yhudiyt Williams,93221.84999999999
95,Yael Smee,93221.84999999999
69,Richard Sanchez,93221.84999999999
31,Christa Yuan,93221.84999999999
132,Radha Collins,93221.84999999999
145,Urai Andreev,93221.84999999999
70,Karolina Edwards,93221.84999999999
118,Muhammed Molefe,92975
131,Purity Sato,92975
8,Lakshmi Wright,92975
137,Maciej Endo,92975
72,Mary Thompson,92975
97,Min Molefe,92975
144,Pablo Zoabi,92975
49,Rajesh Jimenez,92975
19,Mercy Janssen,92975
131,Purity Sato,92975
2,Wanphen Okada,92975
21,Hisako Iglesias,92975
135,Pilar Jansen,92260.79999999999
36,Lihua Kamau,92260.79999999999
136,Zandile Atieno,92260.79999999999
81,Ngozi Qiu,92260.79999999999
35,Zandile Lavyan,92260.79999999999
65,Fumiko De-Groot,92260.79999999999
5,Joyce Baker,92260.79999999999
33,Lijun Kumar,92260.79999999999
46,Mitsuo Nel,92260.79999999999
41,Qing Nakano,92260.79999999999
76,Lilian Mondal,92260.79999999999
111,Martha Vasilev,92260.79999999999
68,Miykhal Novikov,92260.79999999999
103,Irina Maluleke,92260.79999999999
76,Lilian Mondal,92260.79999999999
65,Fumiko De-Groot,92045.25
8,Lakshmi Wright,92045.25
48,Mahmood Li,92045.25
19,Mercy Janssen,92045.25
11,Irina Okon,92045.25
15,Hiromi Egorova,92045.25
71,Xiaoyan Mishra,92045.25
128,Lyubov Molina,92045.25
50,Hadiza Schmidt,92045.25
108,Jianguo Lehmann,92045.25
52,Natalya Sah,92045.25
37,Sunday Cano,92045.25
98,Bjarni Fujita,92045.25
106,Somkhit Shemesh,92045.25
97,Min Molefe,92045.25
27,Vijay Gomez,92045.25
38,Ling Dlamini,92045.25
103,Irina Maluleke,92045.25
121,Edda Davies,92045.25
57,Tadashi Gumede,92045.25
134,Yhudiyt Williams,92045.25
98,Bjarni Fujita,92045.25
140,David Venter,92045.25
91,Janusz Young,92045.25
19,Mercy Janssen,92045.25
69,Richard Sanchez,91711
17,Somphong Kowalczyk,91711
82,Hiroshi Morozova,91711
144,Pablo Zoabi,91711
144,Pablo Zoabi,91711
99,Mikhail Yakovleva,91711
94,Karl-Heinz Nikolaev,91711
72,Mary Thompson,91711
90,Vijay Pietrzak,91711
33,Lijun Kumar,91711
103,Irina Maluleke,91547
99,Mikhail Yakovleva,91547
115,Jose Das,91547
73,Joyce Chmielewski,91547
150,Asha Ngubane,91547
6,Matt Fujii,91547
95,Yael Smee,91547
113,Alexander Santos,91547
10,Alan Allen,91547
102,Nancy Shevchenko,91299.75
86,Rosa Sitwat,91299.75
103,Irina Maluleke,91299.75
50,Hadiza Schmidt,91299.75
53,Susanne Vaknin,91299.75
16,Aleksandr Wairimu,91299.75
96,Dariusz Vazquez,91299.75
29,Jose-Manuel Pawlak,91299.75
17,Somphong Kowalczyk,91299.75
62,Xiaoyan Suzuki,91299.75
136,Zandile Atieno,91299.75
63,Sombun Schmid,91299.75
117,Pushpa Lawal,91299.75
39,Ping Reyes,91299.75
114,Esther Hassan,91299.75
123,Victor Sulaiman,91299.75
124,Alyona Yahaya,91299.75
46,Mitsuo Nel,91299.75
76,Lilian Mondal,91299.75
124,Alyona Yahaya,91299.75
53,Susanne Vaknin,91299.75
64,Ming Gil,91299.75
61,Ester Ngobeni,91299.75
29,Jose-Manuel Pawlak,91299.75
121,Edda Davies,91299.75
11,Irina Okon,91299.75
29,Jose-Manuel Pawlak,91299.75
22,Isabel Sakamoto,91299.75
143,Heinz Lis,91299.75
16,Aleksandr Wairimu,91299.75
23,Anton Buthelezi,91115.5
83,Liping Suzuki,91115.5
43,Keiko Bala,91115.5
123,Victor Sulaiman,91115.5
63,Sombun Schmid,91115.5
125,Jianguo Cruz,91115.5
35,Zandile Lavyan,91115.5
146,Ping Onyango,91115.5
116,Johan Sitwat,91115.5
69,Richard Sanchez,91115.5
139,Nonhlanhla Dijkstra,91115.5
42,Lukasz Ikeda,91115.5
46,Mitsuo Nel,91115.5
41,Qing Nakano,91115.5
107,Asha Ostrowski,91115.5
10,Alan Allen,91115.5
41,Qing Nakano,91115.5
125,Jianguo Cruz,91115.5
121,Edda Davies,90793.89
11,Irina Okon,90793.89
14,Rajendra Tian,90793.89
43,Keiko Bala,90793.89
23,Anton Buthelezi,90793.89
43,Keiko Bala,90793.89
140,David Venter,90793.89
74,Joyce Mahato,90793.89
110,Isa Khoza,90793.89
102,Nancy Shevchenko,90793.89
144,Pablo Zoabi,90793.89
53,Susanne Vaknin,90793.89
12,Olga Zakharova,90793.89
85,Suman Mbatha,90793.89
61,Ester Ngobeni,90631.53
40,Renate Yoshida,90631.53
84,Janet Lee,90631.53
46,Mitsuo Nel,90631.53
5,Joyce Baker,90631.53
83,Liping Suzuki,90631.53
95,Yael Smee,90631.53
133,Ana Phillips,90631.53
4,Ragnar Haraldsson,90631.53
94,Karl-Heinz Nikolaev,90631.53
84,Janet Lee,90631.53
102,Nancy Shevchenko,90631.53
37,Sunday Cano,90631.53
114,Esther Hassan,90631.53
51,Rajendra Lal,90631.53
128,Lyubov Molina,90631.53
55,Johanna Begum,90631.53
33,Lijun Kumar,90631.53
113,Alexander Santos,90631.53
145,Urai Andreev,90631.53
106,Somkhit Shemesh,90338.7
19,Mercy Janssen,90338.7
66,Helmut Van-Beek,90338.7
12,Olga Zakharova,90338.7
127,Michal Makarov,90338.7
129,Mali Blom,90338.7
59,Barbara Kimura,90338.7
92,Karen Ali,90338.7
24,Horst Moreno,90338.7
48,Mahmood Li,90338.7
97,Min Molefe,90338.7
57,Tadashi Gumede,90338.7
44,Adiy Lang,90338.7
35,Zandile Lavyan,90338.7
30,Ravi Rani,90185.75
80,Karolina Mondal,90185.75
15,Hiromi Egorova,90185.75
86,Rosa Sitwat,90185.75
87,Kjartan Mwangi,90185.75
130,Marina Wojciechowski,90185.75
83,Liping Suzuki,90185.75
128,Lyubov Molina,90185.75
40,Renate Yoshida,90185.75
115,Jose Das,90185.75
83,Liping Suzuki,90185.75
100,Carmen Wagner,90185.75
145,Urai Andreev,90185.75
79,Mikhail Nikolaev,90185.75
89,Winai Njoroge,90185.75
81,Ngozi Qiu,90185.75
46,Mitsuo Nel,90185.75
93,Dieter Paswan,90185.75
106,Somkhit Shemesh,90185.75
3,Frank Mahagna,90185.75
16,Aleksandr Wairimu,90185.75
69,Richard Sanchez,90185.75
149,Eunice Powell,90185.75
137,Maciej Endo,90185.75
