idVendedor,nomeVendedor,mes,ano,mediaVendas
60,Abubakar Popov,0,2020,62.28
60,Abubakar Popov,1,2020,52.44
60,Abubakar Popov,2,2020,60.32
60,Abubakar Popov,3,2020,55.00
60,Abubakar Popov,4,2020,48.50
60,Abubakar Popov,5,2020,53.36
60,Abubakar Popov,6,2020,52.47
60,Abubakar Popov,7,2020,54.00
60,Abubakar Popov,8,2020,54.61
60,Abubakar Popov,9,2020,55.31
60,Abubakar Popov,10,2020,49.74
60,Abubakar Popov,11,2020,51.38
60,Abubakar Popov,0,2021,54.52
60,Abubakar Popov,1,2021,47.10
60,Abubakar Popov,2,2021,54.26
60,Abubakar Popov,3,2021,48.00
60,Abubakar Popov,4,2021,48.13
60,Abubakar Popov,5,2021,46.85
60,Abubakar Popov,6,2021,52.06
60,Abubakar Popov,7,2021,48.42
60,Abubakar Popov,8,2021,51.00
60,Abubakar Popov,9,2021,56.28
60,Abubakar Popov,10,2021,35.50
44,Adiy Lang,0,2020,56.34
44,Adiy Lang,1,2020,56.87
44,Adiy Lang,2,2020,45.95
44,Adiy Lang,3,2020,47.91
44,Adiy Lang,4,2020,52.07
44,Adiy Lang,5,2020,48.06
44,Adiy Lang,6,2020,58.55
44,Adiy Lang,7,2020,57.28
44,Adiy Lang,8,2020,54.00
44,Adiy Lang,9,2020,47.13
44,Adiy Lang,10,2020,47.87
44,Adiy Lang,11,2020,49.04
44,Adiy Lang,0,2021,51.10
44,Adiy Lang,1,2021,50.85
44,Adiy Lang,2,2021,56.23
44,Adiy Lang,3,2021,52.28
44,Adiy Lang,4,2021,47.41
44,Adiy Lang,5,2021,51.39
44,Adiy Lang,6,2021,45.69
44,Adiy Lang,7,2021,49.30
44,Adiy Lang,8,2021,49.89
44,Adiy Lang,9,2021,52.40
44,Adiy Lang,10,2021,51.40
10,Alan Allen,0,2020,37.74
10,Alan Allen,1,2020,60.48
10,Alan Allen,2,2020,47.80
10,Alan Allen,3,2020,62.31
10,Alan Allen,4,2020,57.38
10,Alan Allen,5,2020,46.81
10,Alan Allen,6,2020,47.89
10,Alan Allen,7,2020,50.79
10,Alan Allen,8,2020,39.27
10,Alan Allen,9,2020,51.97
10,Alan Allen,10,2020,43.64
10,Alan Allen,11,2020,43.05
10,Alan Allen,0,2021,53.88
10,Alan Allen,1,2021,50.84
10,Alan Allen,2,2021,41.66
10,Alan Allen,3,2021,50.53
10,Alan Allen,4,2021,51.89
10,Alan Allen,5,2021,48.10
10,Alan Allen,6,2021,51.17
10,Alan Allen,7,2021,46.17
10,Alan Allen,8,2021,59.21
10,Alan Allen,9,2021,58.70
10,Alan Allen,10,2021,39.67
16,Aleksandr Wairimu,0,2020,46.17
16,Aleksandr Wairimu,1,2020,66.41
16,Aleksandr Wairimu,2,2020,47.06
16,Aleksandr Wairimu,3,2020,56.38
16,Aleksandr Wairimu,4,2020,43.61
16,Aleksandr Wairimu,5,2020,50.48
16,Aleksandr Wairimu,6,2020,55.26
16,Aleksandr Wairimu,7,2020,54.19
16,Aleksandr Wairimu,8,2020,55.59
16,Aleksandr Wairimu,9,2020,45.81
16,Aleksandr Wairimu,10,2020,45.23
16,Aleksandr Wairimu,11,2020,49.20
16,Aleksandr Wairimu,0,2021,47.00
16,Aleksandr Wairimu,1,2021,39.27
16,Aleksandr Wairimu,2,2021,42.29
16,Aleksandr Wairimu,3,2021,49.62
16,Aleksandr Wairimu,4,2021,55.45
16,Aleksandr Wairimu,5,2021,51.32
16,Aleksandr Wairimu,6,2021,52.42
16,Aleksandr Wairimu,7,2021,53.74
16,Aleksandr Wairimu,8,2021,51.38
16,Aleksandr Wairimu,9,2021,60.55
16,Aleksandr Wairimu,10,2021,37.50
113,Alexander Santos,0,2020,54.20
113,Alexander Santos,1,2020,41.25
113,Alexander Santos,2,2020,40.96
113,Alexander Santos,3,2020,60.95
113,Alexander Santos,4,2020,47.23
113,Alexander Santos,5,2020,56.58
113,Alexander Santos,6,2020,56.73
113,Alexander Santos,7,2020,58.04
113,Alexander Santos,8,2020,48.45
113,Alexander Santos,9,2020,52.87
113,Alexander Santos,10,2020,44.86
113,Alexander Santos,11,2020,43.59
113,Alexander Santos,0,2021,52.15
113,Alexander Santos,1,2021,63.00
113,Alexander Santos,2,2021,50.16
113,Alexander Santos,3,2021,61.31
113,Alexander Santos,4,2021,55.11
113,Alexander Santos,5,2021,50.94
113,Alexander Santos,6,2021,52.57
113,Alexander Santos,7,2021,55.06
113,Alexander Santos,8,2021,47.00
113,Alexander Santos,9,2021,45.70
113,Alexander Santos,10,2021,63.00
124,Alyona Yahaya,0,2020,52.56
124,Alyona Yahaya,1,2020,54.90
124,Alyona Yahaya,2,2020,49.14
124,Alyona Yahaya,3,2020,56.61
124,Alyona Yahaya,4,2020,41.50
124,Alyona Yahaya,5,2020,49.92
124,Alyona Yahaya,6,2020,42.28
124,Alyona Yahaya,7,2020,43.91
124,Alyona Yahaya,8,2020,54.73
124,Alyona Yahaya,9,2020,53.95
124,Alyona Yahaya,10,2020,52.25
124,Alyona Yahaya,11,2020,56.85
124,Alyona Yahaya,0,2021,43.13
124,Alyona Yahaya,1,2021,49.41
124,Alyona Yahaya,2,2021,51.81
124,Alyona Yahaya,3,2021,45.52
124,Alyona Yahaya,4,2021,52.29
124,Alyona Yahaya,5,2021,52.31
124,Alyona Yahaya,6,2021,47.79
124,Alyona Yahaya,7,2021,49.44
124,Alyona Yahaya,8,2021,50.37
124,Alyona Yahaya,9,2021,48.25
124,Alyona Yahaya,10,2021,46.80
133,Ana Phillips,0,2020,53.44
133,Ana Phillips,1,2020,47.74
133,Ana Phillips,2,2020,52.69
133,Ana Phillips,3,2020,47.59
133,Ana Phillips,4,2020,48.94
133,Ana Phillips,5,2020,51.04
133,Ana Phillips,6,2020,56.23
133,Ana Phillips,7,2020,50.97
133,Ana Phillips,8,2020,53.54
133,Ana Phillips,9,2020,47.28
133,Ana Phillips,10,2020,47.38
133,Ana Phillips,11,2020,44.52
133,Ana Phillips,0,2021,56.86
133,Ana Phillips,1,2021,43.83
133,Ana Phillips,2,2021,53.50
133,Ana Phillips,3,2021,50.89
133,Ana Phillips,4,2021,47.85
133,Ana Phillips,5,2021,47.16
133,Ana Phillips,6,2021,54.76
133,Ana Phillips,7,2021,44.68
133,Ana Phillips,8,2021,42.97
133,Ana Phillips,9,2021,59.82
133,Ana Phillips,10,2021,49.33
126,Ana Roberts,0,2020,50.76
126,Ana Roberts,1,2020,42.32
126,Ana Roberts,2,2020,48.52
126,Ana Roberts,3,2020,48.21
126,Ana Roberts,4,2020,51.11
126,Ana Roberts,5,2020,50.86
126,Ana Roberts,6,2020,52.95
126,Ana Roberts,7,2020,61.83
126,Ana Roberts,8,2020,50.10
126,Ana Roberts,9,2020,51.08
126,Ana Roberts,10,2020,43.96
126,Ana Roberts,11,2020,51.53
126,Ana Roberts,0,2021,57.64
126,Ana Roberts,1,2021,49.88
126,Ana Roberts,2,2021,52.82
126,Ana Roberts,3,2021,53.62
126,Ana Roberts,4,2021,38.77
126,Ana Roberts,5,2021,41.96
126,Ana Roberts,6,2021,46.69
126,Ana Roberts,7,2021,53.76
126,Ana Roberts,8,2021,54.04
126,Ana Roberts,9,2021,50.88
126,Ana Roberts,10,2021,48.82
13,Andrew Kowalski,0,2020,51.15
13,Andrew Kowalski,1,2020,48.39
13,Andrew Kowalski,2,2020,51.93
13,Andrew Kowalski,3,2020,48.86
13,Andrew Kowalski,4,2020,57.75
13,Andrew Kowalski,5,2020,49.89
13,Andrew Kowalski,6,2020,50.24
13,Andrew Kowalski,7,2020,50.89
13,Andrew Kowalski,8,2020,55.00
13,Andrew Kowalski,9,2020,51.61
13,Andrew Kowalski,10,2020,50.86
13,Andrew Kowalski,11,2020,49.27
13,Andrew Kowalski,0,2021,52.43
13,Andrew Kowalski,1,2021,44.70
13,Andrew Kowalski,2,2021,48.55
13,Andrew Kowalski,3,2021,57.57
13,Andrew Kowalski,4,2021,48.20
13,Andrew Kowalski,5,2021,35.88
13,Andrew Kowalski,6,2021,49.79
13,Andrew Kowalski,7,2021,44.14
13,Andrew Kowalski,8,2021,48.75
13,Andrew Kowalski,9,2021,58.82
13,Andrew Kowalski,10,2021,48.50
138,Andrey Pfeiffer,0,2020,51.67
138,Andrey Pfeiffer,1,2020,45.15
138,Andrey Pfeiffer,2,2020,45.56
138,Andrey Pfeiffer,3,2020,51.44
138,Andrey Pfeiffer,4,2020,54.02
138,Andrey Pfeiffer,5,2020,57.24
138,Andrey Pfeiffer,6,2020,53.46
138,Andrey Pfeiffer,7,2020,56.04
138,Andrey Pfeiffer,8,2020,45.88
138,Andrey Pfeiffer,9,2020,60.42
138,Andrey Pfeiffer,10,2020,44.52
138,Andrey Pfeiffer,11,2020,51.11
138,Andrey Pfeiffer,0,2021,50.84
138,Andrey Pfeiffer,1,2021,57.30
138,Andrey Pfeiffer,2,2021,58.30
138,Andrey Pfeiffer,3,2021,44.96
138,Andrey Pfeiffer,4,2021,59.81
138,Andrey Pfeiffer,5,2021,48.02
138,Andrey Pfeiffer,6,2021,45.91
138,Andrey Pfeiffer,7,2021,35.95
138,Andrey Pfeiffer,8,2021,40.37
138,Andrey Pfeiffer,9,2021,55.93
138,Andrey Pfeiffer,10,2021,53.38
45,Andrzej Smoakley,0,2020,50.24
45,Andrzej Smoakley,1,2020,48.46
45,Andrzej Smoakley,2,2020,56.53
45,Andrzej Smoakley,3,2020,54.55
45,Andrzej Smoakley,4,2020,40.08
45,Andrzej Smoakley,5,2020,47.70
45,Andrzej Smoakley,6,2020,54.40
45,Andrzej Smoakley,7,2020,50.00
45,Andrzej Smoakley,8,2020,48.97
45,Andrzej Smoakley,9,2020,49.09
45,Andrzej Smoakley,10,2020,56.92
45,Andrzej Smoakley,11,2020,51.86
45,Andrzej Smoakley,0,2021,55.25
45,Andrzej Smoakley,1,2021,44.61
45,Andrzej Smoakley,2,2021,53.16
45,Andrzej Smoakley,3,2021,50.52
45,Andrzej Smoakley,4,2021,49.17
45,Andrzej Smoakley,5,2021,55.92
45,Andrzej Smoakley,6,2021,49.97
45,Andrzej Smoakley,7,2021,48.27
45,Andrzej Smoakley,8,2021,50.74
45,Andrzej Smoakley,9,2021,51.89
45,Andrzej Smoakley,10,2021,52.80
23,Anton Buthelezi,0,2020,48.03
23,Anton Buthelezi,1,2020,37.58
23,Anton Buthelezi,2,2020,60.04
23,Anton Buthelezi,3,2020,57.38
23,Anton Buthelezi,4,2020,43.54
23,Anton Buthelezi,5,2020,56.52
23,Anton Buthelezi,6,2020,51.28
23,Anton Buthelezi,7,2020,58.11
23,Anton Buthelezi,8,2020,45.74
23,Anton Buthelezi,9,2020,46.23
23,Anton Buthelezi,10,2020,57.11
23,Anton Buthelezi,11,2020,47.46
23,Anton Buthelezi,0,2021,53.54
23,Anton Buthelezi,1,2021,48.93
23,Anton Buthelezi,2,2021,45.03
23,Anton Buthelezi,3,2021,48.46
23,Anton Buthelezi,4,2021,60.18
23,Anton Buthelezi,5,2021,49.90
23,Anton Buthelezi,6,2021,46.09
23,Anton Buthelezi,7,2021,47.61
23,Anton Buthelezi,8,2021,50.21
23,Anton Buthelezi,9,2021,41.00
23,Anton Buthelezi,10,2021,92.67
150,Asha Ngubane,0,2020,61.29
150,Asha Ngubane,1,2020,61.24
150,Asha Ngubane,2,2020,55.64
150,Asha Ngubane,3,2020,51.67
150,Asha Ngubane,4,2020,48.64
150,Asha Ngubane,5,2020,44.00
150,Asha Ngubane,6,2020,45.25
150,Asha Ngubane,7,2020,38.85
150,Asha Ngubane,8,2020,52.87
150,Asha Ngubane,9,2020,58.63
150,Asha Ngubane,10,2020,51.80
150,Asha Ngubane,11,2020,65.35
150,Asha Ngubane,0,2021,56.89
150,Asha Ngubane,1,2021,51.50
150,Asha Ngubane,2,2021,58.17
150,Asha Ngubane,3,2021,44.82
150,Asha Ngubane,4,2021,63.38
150,Asha Ngubane,5,2021,44.61
150,Asha Ngubane,6,2021,44.40
150,Asha Ngubane,7,2021,41.40
150,Asha Ngubane,8,2021,61.91
150,Asha Ngubane,9,2021,53.37
150,Asha Ngubane,10,2021,32.50
107,Asha Ostrowski,0,2020,50.10
107,Asha Ostrowski,1,2020,53.53
107,Asha Ostrowski,2,2020,55.81
107,Asha Ostrowski,3,2020,50.14
107,Asha Ostrowski,4,2020,50.81
107,Asha Ostrowski,5,2020,53.04
107,Asha Ostrowski,6,2020,54.25
107,Asha Ostrowski,7,2020,52.48
107,Asha Ostrowski,8,2020,51.57
107,Asha Ostrowski,9,2020,51.03
107,Asha Ostrowski,10,2020,53.48
107,Asha Ostrowski,11,2020,53.56
107,Asha Ostrowski,0,2021,54.13
107,Asha Ostrowski,1,2021,48.56
107,Asha Ostrowski,2,2021,45.79
107,Asha Ostrowski,3,2021,45.23
107,Asha Ostrowski,4,2021,48.15
107,Asha Ostrowski,5,2021,47.00
107,Asha Ostrowski,6,2021,56.39
107,Asha Ostrowski,7,2021,55.08
107,Asha Ostrowski,8,2021,41.85
107,Asha Ostrowski,9,2021,47.82
107,Asha Ostrowski,10,2021,66.00
59,Barbara Kimura,0,2020,50.58
59,Barbara Kimura,1,2020,49.42
59,Barbara Kimura,2,2020,50.40
59,Barbara Kimura,3,2020,51.97
59,Barbara Kimura,4,2020,54.29
59,Barbara Kimura,5,2020,54.36
59,Barbara Kimura,6,2020,50.18
59,Barbara Kimura,7,2020,51.50
59,Barbara Kimura,8,2020,51.00
59,Barbara Kimura,9,2020,56.10
59,Barbara Kimura,10,2020,56.78
59,Barbara Kimura,11,2020,52.00
59,Barbara Kimura,0,2021,44.65
59,Barbara Kimura,1,2021,40.46
59,Barbara Kimura,2,2021,41.56
59,Barbara Kimura,3,2021,61.40
59,Barbara Kimura,4,2021,44.63
59,Barbara Kimura,5,2021,53.24
59,Barbara Kimura,6,2021,50.41
59,Barbara Kimura,7,2021,49.50
59,Barbara Kimura,8,2021,39.27
59,Barbara Kimura,9,2021,51.77
59,Barbara Kimura,10,2021,54.00
98,Bjarni Fujita,0,2020,41.29
98,Bjarni Fujita,1,2020,49.85
98,Bjarni Fujita,2,2020,56.34
98,Bjarni Fujita,3,2020,55.19
98,Bjarni Fujita,4,2020,54.23
98,Bjarni Fujita,5,2020,54.00
98,Bjarni Fujita,6,2020,54.40
98,Bjarni Fujita,7,2020,57.33
98,Bjarni Fujita,8,2020,41.56
98,Bjarni Fujita,9,2020,51.06
98,Bjarni Fujita,10,2020,45.09
98,Bjarni Fujita,11,2020,33.79
98,Bjarni Fujita,0,2021,50.85
98,Bjarni Fujita,1,2021,43.89
98,Bjarni Fujita,2,2021,49.74
98,Bjarni Fujita,3,2021,49.25
98,Bjarni Fujita,4,2021,48.39
98,Bjarni Fujita,5,2021,52.42
98,Bjarni Fujita,6,2021,52.75
98,Bjarni Fujita,7,2021,52.06
98,Bjarni Fujita,8,2021,56.00
98,Bjarni Fujita,9,2021,50.59
98,Bjarni Fujita,10,2021,40.22
